Valid strings:

| Method             | ValidString          | Mean         | Error      | StdDev     | Allocated |
| FrozenSet_InValid_End    | AFHB(...)ZXCV [125]  |   233.718 ns |  0.4804 ns |  0.4011 ns |         - |
| Span_InValid_End         | AFHB(...)ZXCV [125]  |    37.768 ns |  0.3363 ns |  0.3145 ns |         - |
| SearchValues_InValid_End | AFHB(...)ZXCV [125]  |     6.249 ns |  0.1149 ns |  0.1074 ns |         - |
| Naive_InValid_End        | AFHB(...)ZXCV [342]  | 1,788.771 ns |  5.4934 ns |  5.1385 ns |         - |
| HashSet_InValid_End      | AFHB(...)ZXCV [342]  |   926.952 ns |  2.6761 ns |  2.3723 ns |         - |
| FrozenSet_InValid_End    | AFHB(...)ZXCV [342]  |   634.514 ns |  1.9176 ns |  1.6999 ns |         - |
| Span_InValid_End         | AFHB(...)ZXCV [342]  |    42.754 ns |  0.2577 ns |  0.2285 ns |         - |
| SearchValues_InValid_End | AFHB(...)ZXCV [342]  |    11.901 ns |  0.0251 ns |  0.0235 ns |         - |
| Naive_InValid_End        | AFHB(...)ZXCV [1365] | 7,243.668 ns | 27.1178 ns | 24.0392 ns |         - |
| HashSet_InValid_End      | AFHB(...)ZXCV [1365] | 3,742.032 ns | 12.6802 ns | 11.2407 ns |         - |
| FrozenSet_InValid_End    | AFHB(...)ZXCV [1365] | 2,540.078 ns |  8.1730 ns |  7.6451 ns |         - |
| Span_InValid_End         | AFHB(...)ZXCV [1365] |    71.000 ns |  0.1670 ns |  0.1480 ns |         - |
| SearchValues_InValid_End | AFHB(...)ZXCV [1365] |    41.836 ns |  0.1078 ns |  0.1009 ns |         - |
|__________________________|______________________|______________|____________|____________|___________|
